"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXU","Alexco Resource Corp","1.21","93643137.83","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"AAU","Almaden Minerals, Ltd.","1.07","83672056.88","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"AKG","Asanko Gold Inc.","3.15","620654287.05","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"ASM","Avino Silver","1.21","47625583.06","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"BTG","B2Gold Corp","1.98","1838882681.46","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
"BAA","BANRO CORPORATION","0.3227","97555115.9135","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa",
"LEU","Centrus Energy Corp.","3.31","29790000","n/a","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/leu",
"LODE","Comstock Mining, Inc.","0.4374","70911881.1144","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode",
"DNN","Denison Mine Corp","0.52","269588107.88","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/dnn",
"UUUU","Energy Fuels Inc","2.12","110052030.2","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/uuuu",
"EGI","Entree Gold Inc","0.34","51890637.14","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/egi",
"EMXX","Eurasian Minerals Inc.","0.78","57552073.8","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/emxx",
"XRA","Exeter Resource Corporation","0.88","77829622.64","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/xra",
"FSI","Flexible Solutions International Inc.","1.4","15999187.4","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fsi",
"GMO","General Moly, Inc","0.4","36377299.2","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gmo",
"GORO","Gold Resource Corporation","3.23","175281460.38","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/goro",
