"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACU","Acme United Corporation.","17.4701","58218409.446","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AIRI","Air Industries Group","5.3501","40446970.004","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"AA^","Alcoa Inc.","88","0","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"CIX","CompX International Inc.","10.73","133171178.11","n/a","1998","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cix",
"CUO","Continental Materials Corporation","14.26","23688241.42","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cuo",
"CVU","CPI Aerostructures, Inc.","6.53","56226258.09","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/cvu",
"DPW","Digital Power Corporation","0.3896","2639918.3016","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw",
"ESP","Espey Mfg. & Electronics Corp.","24.7502","58266524.8368","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esp",
"FRD","Friedman Industries Inc.","6.09","41408613.96","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/frd",
"GRC","Gorman-Rupp Company (The)","27.46","716256287.58","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/grc",
"INS","Intelligent Systems Corporation","3.83","33440875.17","n/a","1992","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/ins",
"INTT","inTest Corporation","3.89","40826413.58","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/intt",
"KIQ","Kelso Technologies Inc","1.01","46532469.52","n/a","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/kiq",
"LGL","LGL Group, Inc. (The)","3.4","9062475.6","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lgl",
"LBY","Libbey, Inc.","17.72","385676455.64","n/a","1993","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lby",
"NSAT","Norsat International Inc.","5.5458","32341208.9364","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nsat",
"SENS","Senseonics Holdings, Inc.","3.09","234098588.49","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sens",
"SVT","Servotronics, Inc.","8.599","20824834.626","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/svt",
"SIF","SIFCO Industries, Inc.","10.4999","57288745.8877","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/sif",
"SLI","SL Industries, Inc.","39.94","158544226.4","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sli",
"STS","Supreme Industries, Inc.","12.2","207173543.6","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/sts",
"TIK","Tel-Instrument Electronics Corp.","4.22","13744063.14","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/tik",
"UFAB","Unique Fabricating, Inc.","13.57","130629718.77","n/a","2015","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ufab",
"UAMY","United States Antimony Corporation","0.29","19231720.62","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/uamy",
"UQM","UQM TECHNOLOGIES INC","0.68","32950676.36","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/uqm",
"WTT","Wireless Telecom Group,  Inc.","1.37","25472427.81","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/wtt",
