"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AE","Adams Resources & Energy, Inc.","43.3","182621906.8","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"BRN","Barnwell Industries, Inc.","1.69","13988400.4","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"CKX","CKX Lands, Inc.","12","23309940","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx",
"MCF","Contango Oil & Gas Company","12.13","235429241.33","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf",
"DAKP","Dakota Plains Holdings, Inc.","0.13","7170566.13","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/dakp",
"DXI","DXI Energy Inc.","0.18","6571791.54","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dxi",
"ESTE","Earthstone Energy, Inc.","11.95","165329779.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este",
"ENRJ","EnerJex Resources, Inc.","0.29","2442941.44","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj",
"ENSV","ENSERVCO Corporation","0.6","22878096","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv",
"ERN","Erin Energy Corp.","1.85","392226608.55","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ern",
"EPM","Evolution Petroleum Corporation, Inc.","5.14","169010627.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epm",
"FPP","FieldPoint Petroleum Corporation","0.797","7085410.497","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fpp",
"GST","Gastar Exploration Inc.","2.17","177586886.75","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gst",
"GTE","Gran Tierra Energy Inc.","2.7","776675290.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gte",
"HUSA","Houston American Energy Corporation","0.248","12891026.36","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/husa",
"IMO","Imperial Oil Limited","31.15","26402709192.65","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/imo",
"LEI","Lucas Energy, Inc.","3.69","5416517.79","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lei",
"MXC","Mexco Energy Corporation","2.5399","5174451.9134","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mxc",
"GBR","New Concept Energy, Inc","0.95","1849588.25","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gbr",
"NOG","Northern Oil and Gas, Inc.","4.92","310621503.84","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nog",
"PARR","Par Pacific Holdings, Inc.","17.01","698738429.97","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/parr",
"PED","Pedevco Corp.","0.21","9867164.37","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ped",
"REI","Ring Energy, Inc.","6.66","202443633.72","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rei",
"SSN","Samson Oil & Gas Limited","0.6502","9225798.9842","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssn",
"SPP","Sanchez Production Partners LP","10.119","30671205.069","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/spp",
"SDPI","Superior Drilling Products, Inc.","1.8001","31429034.9605","n/a","2014","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/sdpi",
"SYRG","Synergy Resources Corporation","6.05","763786400.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/syrg",
"TGC","Tengasco, Inc.","1.19","7240246.79","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tgc",
"TAT","Transatlantic Petroleum Ltd","1.01","41745306.87","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tat",
"TPLM","Triangle Petroleum Corporation","0.4","30493045.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tplm",
"YUMA","Yuma Energy, Inc.","0.28","20135181.08","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/yuma",
