"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AAMC","Altisource Asset Management Corp","12.83","25282438.76","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",
"BKJ","Bancorp of New Jersey, Inc","11.3099","70576501.6859","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BHB","Bar Harbor Bankshares, Inc.","34.35","206433985.05","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"CNR","China Metro-Rural Holdings Limited","0.91","66924841.62","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cnr",
"CTO","Consolidated-Tomoka Land Co.","49.2","286794376.8","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cto",
"EVBN","Evans Bancorp, Inc.","24","102267024","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/evbn",
"IFMI","Institutional Financial Markets, Inc.","1.02","12476417.64","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ifmi",
"LTS","Ladenburg Thalmann Financial Services Inc","2.37","435026819.4","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/lts",
"IPB","Merrill Lynch & Co., Inc.","27.65","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ipb",
"PRK","Park National Corporation","89.32","1369347681.24","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/prk",
"SEB","Seaboard Corporation","2905","3400447750","n/a","1996","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/seb",
"SGB","Southwest Georgia Financial Corporation","14.8","37707987.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sgb",
"TMP","Tompkins Financial Corporation","63.71","954932625.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/tmp",
