"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIII","ACRE Realty Investors, Inc.","1.43","28763008.56","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii",
"AFCO","American Farmland Company","7","118453279","n/a","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/afco",
"AINC","Ashford Inc.","45.8","92084060.2","n/a","2014","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc",
"BGI","Birks Group Inc.","0.49","8800831.69","n/a","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi",
"BRG","Bluerock Residential Growth REIT, Inc.","11.28","220596891.36","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brg",
"MOC","Command Security Corporation","2.47","24187766.46","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/moc",
"DGSE","DGSE Companies, Inc.","0.545","6719281.02","n/a","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/dgse",
"EVI","EnviroStarm, Inc.","3.781","26594540.692","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/evi",
"BDL","Flanigan&#39;s Enterprises, Inc.","18.25","33920307.75","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bdl",
"FSP","Franklin Street Properties Corp.","10.94","1096050210.7","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fsp",
"GSAT","Globalstar, Inc.","1.84","1910837602.48","n/a","2006","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gsat",
"HMG","HMG/Courtland Properties, Inc.","10.3601","10727811.0293","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hmg",
"IDI","IDI, Inc.","5.02","230879543.82","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/idi",
"IMH","Impac Mortgage Holdings, Inc.","14","172515308","n/a","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/imh",
"IOT","Income Opportunity Realty Investors, Inc.","7.75","32303658.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iot",
"IRT","Independence Realty Trust, Inc.","7.55","358394317.3","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/irt",
"IHT","InnSuites Hospitality Trust","2.4662","21746465.7586","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iht",
"INUV","Inuvo, Inc","1.84","45024071.36","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/inuv",
"JRJR","JRjr33, Inc.","1.01","34710765.95","n/a","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/jrjr",
"MHH","Mastech Holdings, Inc","6.8","29597034","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/mhh",
"UWN","Nevada Gold & Casinos, Inc.","2.02","35882989.12","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/uwn",
"NEN","New England Realty Associates Limited Partnership","55.0999","206758187.1576","n/a","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/nen",
"NTN","NTN Buzztime, Inc.","0.1519","14041510.5306","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/ntn",
"ORM","Owens Realty Mortgage, Inc.","17.45","178810150","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/orm",
"PW","Power REIT","5","8713440","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pw",
"SGA","Saga Communications, Inc.","44.4","260227645.2","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/sga",
"TPHS","Trinity Place Holdings Inc.","7.4","187237256.8","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/tphs",
"VSR","Versar, Inc.","2.49","24480412.59","n/a","1986","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/vsr",
