"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACY","AeroCentury Corp.","10.6","16607009.4","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"WGA","AG&E Holdings, Inc.","0.36","4193640","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/wga",
"BGSF","BG Staffing Inc","15.68","116012588.16","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf",
"BDR","Blonder Tongue Laboratories, Inc.","0.41","2773541.76","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
"CVR","Chicago Rivet & Machine Co.","24.7","23863460.4","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"ETAK","Elephant Talk Communications Corp.","0.203","32809324.261","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/etak",
"EMAN","eMagin Corporation","1.77","52303800.9","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/eman",
"JOB","General Employment Enterprises, Inc.","4.21","38969069.31","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/job",
"GIG","GigPeak, Inc.","2.28","102171147.96","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/gig",
"GSB","GlobalSCAPE, Inc.","3.31","69557021.86","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsb",
"GVP","GSE Systems, Inc.","2.44","43704935.96","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gvp",
"IEC","IEC Electronics Corp.","4.18","42546447.68","n/a","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/iec",
"IDN","Intellicheck Mobilisa, Inc.","1.88","16852586.96","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/idn",
"LIQT","LiqTech International, Inc.","0.8","31625628","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/liqt",
"MJCO","Majesco","6.3","229643549.1","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mjco",
"NTIP","Network-1 Technologies, Inc.","2.39","55677310.94","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ntip",
"RWC","RELM Wireless Corporation","4.64","63709807.68","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/rwc",
"TRT","Trio-Tech International","3.3001","11593432.8055","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/trt",
"VISI","Volt Information Sciences, Inc.","6.94","144563690.82","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/visi",
"WYY","WidePoint Corporation","0.8915","73567200.484","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/wyy",
