"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADGE","American DG Energy Inc.","0.286","14495651.17","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/adge",
"AWX","Avalon Holdings Corporation","1.93","7340428.83","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"CQH","Cheniere Energy Partners LP Holdings, LLC","18.96","4393032000","n/a","2013","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqh",
"CQP","Cheniere Energy Partners, LP","28.03","9469094964.39","n/a","2007","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqp",
"LNG","Cheniere Energy, Inc.","36.11","8508060719.35","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/lng",
"ELLO","Ellomay Capital Ltd.","7.98","85217526.24","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ello",
"ESNC","EnSync, Inc.","0.273","12997208.133","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/esnc",
"EGAS","Gas Natural Inc.","7.015","73738312.8","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/egas",
"GLOW","Glowpoint, Inc.","0.3197","11465821.1858","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/glow",
"HCHC","HC2 Holdings, Inc.","4.03","142065072.37","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/hchc",
"STRP","Straight Path Communications Inc.","38.69","470715694.6","n/a","2013","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/strp",
"HTM","U.S. Geothermal Inc.","0.76","83763578.6","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/htm",
