Symbol,Name,Exchange,Sector,Industry
A,Agilent Technologies Inc.,NASDAQ,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Inc.,NASDAQ,Capital Goods,Metal Fabrications
AAAP,Advanced Accelerator Applications S.A.,NYSE,Health Care,Major Pharmaceuticals
AAC,AAC Holdings Inc.,NASDAQ,Health Care,Medical Specialities
AAL,American Airlines Group Inc.,NYSE,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp,AMEX,Finance,Real Estate
AAME,Atlantic American Corporation,NYSE,Finance,Life Insurance
AAN,Aaron's  Inc.,NASDAQ,Technology,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc.,NYSE,Technology,Semiconductors
AAON,AAON Inc.,NYSE,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc,NASDAQ,Consumer Services,Other Specialty Stores
AAPC,Atlantic Alliance Partnership Corp.,NYSE,Finance,Business Services
AAPL,Apple Inc.,NYSE,Technology,Computer Manufacturing
AAT,American Assets Trust Inc.,NASDAQ,Consumer Services,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd.,AMEX,Basic Industries,Precious Metals
AAV,Advantage Oil & Gas Ltd,NASDAQ,Energy,Oil & Gas Production
AAVL,Avalanche Biotechnologies Inc.,NYSE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AAWW,Atlas Air Worldwide Holdings,NYSE,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.,NASDAQ,Finance,Investment Managers
ABAC,Aoxin Tianli Group Inc.,NYSE,Consumer Non-Durables,Farming/Seeds/Milling
ABAX,ABAXIS Inc.,NYSE,Capital Goods,Industrial Machinery/Components
ABB,ABB Ltd,NASDAQ,Consumer Durables,Electrical Products
ABBV,AbbVie Inc.,NASDAQ,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation (Holding Co),NASDAQ,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp,NYSE,Finance,Major Banks
ABCD,Cambium Learning Group Inc.,NYSE,Consumer Services,Publishing
ABCO,The Advisory Board Company,NYSE,Consumer Services,Other Consumer Services
ABCW,Anchor BanCorp Wisconsin Inc.,NYSE,Finance,Banks
ABEO,Abeona Therapeutics Inc.,NYSE,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,NYSE,Health Care,Major Pharmaceuticals
ABEV,Ambev S.A.,NASDAQ,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc,NASDAQ,Consumer Durables,Automotive Aftermarket
