"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SHLM","A. Schulman, Inc.","29.29","861986598.78","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AEGN","Aegion Corp","21.42","757424201.94","n/a","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AMTX","Aemetis, Inc","2.71","53268922.59","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx",
"AEM","Agnico Eagle Mines Limited","41.11","9092597199.71","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aem",
"AGU","Agrium Inc.","85.8","11855449320","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/agu",
"APD","Air Products and Chemicals, Inc.","147.49","31806271301.42","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apd",
"AKS","AK Steel Holding Corporation","4.72","841786828.24","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/aks",
"AGI","Alamos Gold Inc.","6.09","1603906765.65","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/agi",
"AIN","Albany International Corporation","41.31","1321920000","n/a","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","67.76","7606105805.76","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alb",
"AXU","Alexco Resource Corp","1.17","90547496.91","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"ATI","Allegheny Technologies Incorporated","16.75","1824285447","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ati",
"AAU","Almaden Minerals, Ltd.","1.15","89772431.6","n/a","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"ACH","Aluminum Corporation of China Limited","8.5","5067291396.5","n/a","2001","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/ach",
"AMRK","A-Mark Precious Metals, Inc.","21.99","153348342.51","n/a","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk",
"AMRC","Ameresco, Inc.","4.38","204849279.96","n/a","2010","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/amrc",
"AVD","American Vanguard Corporation","16.01","467725233.68","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/avd",
"AMWD","American Woodmark Corporation","75.49","1228649648.89","n/a","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd",
"AMRS","Amyris, Inc.","1.07","220893585.21","n/a","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs",
"AU","AngloGold Ashanti Limited","14.42","5803854161.98","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/au",
"AQMS","Aqua Metals, Inc.","8.04","113665033.68","n/a","2015","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/aqms",
"RKDA","Arcadia Biosciences, Inc.","2.38","105245075.6","n/a","2015","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/rkda",
"MT","ArcelorMittal","5.59","13706634950.19","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mt",
"AGX","Argan, Inc.","34.12","506459162.28","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/agx",
"AKG","Asanko Gold Inc.","2.68","528048726.76","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"APWC","Asia Pacific Wire & Cable Corporation Limited","2.15","29712288.35","n/a","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc",
"ASM","Avino Silver","1.4199","54655368.6993","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"AXTA","Axalta Coating Systems Ltd.","29.95","7136954447.95","n/a","2014","Basic Industries","Paints/Coatings","http://www.nasdaq.com/symbol/axta",
"AXLL","Axiall Corporation","23.79","1679243937.54","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/axll",
"BTG","B2Gold Corp","1.99","1844985587.64","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
"BCPC","Balchem Corporation","64.29","2027414016.21","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/bcpc",
