"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","1.18","125488281.18","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","38.63","162925733.48","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"AAV","Advantage Oil & Gas Ltd","5.48","1010776119.56","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ANW","Aegean Marine Petroleum Network Inc.","8.06","389067105.18","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AHGP","Alliance Holdings GP, L.P.","17.77","1063765510","n/a","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","15.18","1129012879.5","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"ALJ","Alon USA Energy, Inc.","11.42","811697147.36","n/a","2005","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/alj",
"ALDW","Alon USA Partners, LP","10.64","665106814.96","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/aldw",
"AETI","American Electric Technologies, Inc.","2.42","20026852.78","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AEUA","Anadarko Petroleum Corporation","38.13","0","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aeua",
"APC","Anadarko Petroleum Corporation","52.36","26621847556.92","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apc",
"AR","Antero Resources Corporation","28.86","7995990156.96","n/a","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","55.88","21139280169.92","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","2.35","95980551.8","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"ARCX","Arc Logistic Partners LP","12.68","244159625.88","n/a","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/arcx",
