"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACTG","Acacia Research Corporation","4.55","229588017.75","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","114.61","74108092211.28","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","52.66","9307524982.46","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","78.61","196171179219.96","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/baba",
"ADS","Alliance Data Systems Corporation","201.68","11951841168.8","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","3.77","99758893.65","n/a","1994","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
"ATHN","athenahealth, Inc.","142.28","5542842367.52","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/athn",
"AVID","Avid Technology, Inc.","5.82","230644231.26","n/a","1993","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/avid",
"RILY","B. Riley Financial, Inc.","10.29","170966147.94","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rily",
"BTN","Ballantyne Strong, Inc","4.6","65355171.6","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BFAM","Bright Horizons Family Solutions Inc.","65.63","3922023269.93","n/a","2013","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","60.38","7175189493.26","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","6.23","75344654.35","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"CAE","CAE Inc","11.76","3170905436.16","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"CAJ","Canon, Inc.","29.06","31735630453.44","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/caj",
"CATM","Cardtronics, Inc.","37.28","1684779456.96","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/catm",
"CASS","Cass Information Systems, Inc","50.56","570986517.76","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"CBZ","CBIZ, Inc.","10.03","527087232.1","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cbz",
"CDK","CDK Global, Inc.","47.46","7369417469.4","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cdk",
"CBAK","China BAK Battery, Inc.","2.66","45607011.38","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CCRC","China Customer Relations Centers, Inc.","10.02","179654592","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ccrc",
"CREG","China Recycling Energy Corporation","0.2932","24360239.062","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CMPR","Cimpress N.V","95.81","3002801713.34","n/a","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/cmpr",
"CLCT","Collectors Universe, Inc.","17.84","158742175.36","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/clct",
"SCOR","comScore, Inc.","31.19","1214987424.1","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/scor",
"CSGP","CoStar Group, Inc.","182.99","5949651952.64","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/csgp",
"CRAI","CRA International,Inc.","19.67","175613209.24","n/a","1998","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/crai",
"CTRP","Ctrip.com International, Ltd.","45.42","15628861758.24","344096472","2003","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ctrp",
"DHX","DHI Group, Inc.","8.16","423985888.8","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dhx",
"DBD","Diebold, Incorporated","27.75","1807547809.5","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/dbd",
"APPS","Digital Turbine, Inc.","0.9798","64739813.7162","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/apps",
"DLB","Dolby Laboratories","42.66","4299959834.28","n/a","2005","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/dlb",
"DTSI","DTS, Inc.","22.57","394677662.82","n/a","2003","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/dtsi",
"KODK","Eastman Kodak Company","12.1","509138899.5","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kodk",
"EBAY","eBay Inc.","24.49","27983159068.6","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebay",
"EBAYL","eBay Inc.","25.5","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebayl",
"ESIO","Electro Scientific Industries, Inc.","7.25","225672830.75","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esio",
"ENR","Energizer Holdings, Inc.","44.22","2734114640.4","n/a","2015","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/enr",
"ENV","Envestnet, Inc","31.21","1311051047.63","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/env",
"ETSY","Etsy, Inc.","9.06","1021059789.36","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/etsy",
"EXLS","ExlService Holdings, Inc.","51.14","1701426572.64","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/exls",
"FICO","Fair Isaac Corporation","105.4","3307208420.6","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fico",
"FIS","Fidelity National Information Services, Inc.","66","21437832306","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fis",
"FNJN","Finjan Holdings, Inc.","1.1601","26351205.1398","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/fnjn",
"FDC","First Data Corporation","12.8","11509802982.4","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fdc",
"FLT","FleetCor Technologies, Inc.","153.57","14223183475.8","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/flt",
"FCEL","FuelCell Energy, Inc.","6.64","192437060.4","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/fcel",
"GPN","Global Payments Inc.","73.19","9460490582.27","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/gpn",
"GPRO","GoPro, Inc.","13.18","1803890782.7","n/a","2014","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gpro",
"GRVY","GRAVITY Co., Ltd.","3.12","5107321.44","1636962","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grvy",
"GB","Greatbatch, Inc.","39.26","1208377062.1","n/a","2000","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gb",
"GRUB","GrubHub Inc.","26.97","2281032304.44","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grub",
"GSIG","GSI Group, Inc.","14.94","513138039.66","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gsig",
"HQY","HealthEquity, Inc.","25.66","1482319105.02","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hqy",
"ONE           ","Higher One Holdings, Inc.","3.79","182982420.38","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/one",
"HPJ","Highpower International Inc","2.07","31260475.53","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hpj",
"HMSY","HMS Holdings Corp","14.63","1229007575.18","n/a","1992","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hmsy",
"HRG","HRG Group, Inc.","14.19","2846486528.16","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hrg",
"IKNX","Ikonics Corporation","11.052","22305732.156","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/iknx",
"IMAX","Imax Corporation","32.49","2218291756.11","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/imax",
"ICLD","InterCloud Systems, Inc","0.7201","18710519.6024","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/icld",
"ICLDW","InterCloud Systems, Inc","0.18","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/icldw",
"IDCC","InterDigital, Inc.","57.41","2009130866.03","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/idcc",
"IDXG","Interpace Diagnostics Group, Inc.","0.53","9626215.63","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/idxg",
"ISDR","Issuer Direct Corporation","5.53","15439173.82","n/a","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/isdr",
"ITUS","ITUS Corporation","2.71","23660679.38","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/itus",
"KGJI","Kingold Jewelry Inc.","1.46","96306712.92","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/kgji",
"LC","LendingClub Corporation","7.52","2868347035.04","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lc",
"TAX","Liberty Tax, Inc.","15.41","198354561.28","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/tax",
"LLNW","Limelight Networks, Inc.","1.72","176058369.24","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/llnw",
"LIOX","Lionbridge Technologies, Inc.","5.05","324075074.1","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/liox",
