"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIRM","Air Methods Corporation","38.46","1491417340.92","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","24.86","58981021.22","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","14.28","912334634.4","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"ALK","Alaska Air Group, Inc.","74.35","9273605313.6","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"ALGT","Allegiant Travel Company","170.36","2861956005.6","n/a","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"AAL","American Airlines Group, Inc.","36.92","21346100493.12","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"ARCB","ArcBest Corporation","21.92","565198190.88","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/arcb",
"ASC","Ardmore Shipping Corporation","9.54","250046366.94","n/a","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/asc",
"AAWW","Atlas Air Worldwide Holdings","40.94","1008624491.94","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"AVH","Avianca Holdings S.A.","5.92","737770593.12","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/avh",
"BCO","Brink&#39;s Company (The)","34.69","1698746751.5","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","22.06","771035053.5","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"CHRW","C.H. Robinson Worldwide, Inc.","75.71","10844903378.51","n/a","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"CNI","Canadian National Railway Company","62.24","48648329419.2","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","143.35","21935755449.35","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cp",
"CPLP","Capital Product Partners L.P.","2.74","336607479.3","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CGI","Celadon Group, Inc.","9.95","277354210.25","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
"CEA","China Eastern Airlines Corporation Ltd.","28.2","7148287631.4","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"ZNH","China Southern Airlines Company Limited","31","6086891540","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","21.23","2148214170.41","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/vlrs",
"CPA","Copa Holdings, S.A.","67.11","2913612728.58","n/a","2005","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cpa",
"CMRE","Costamare Inc.","9.96","749478048","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
"CVTI","Covenant Transportation Group, Inc.","23.66","428938812.12","n/a","1994","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cvti",
"CSX","CSX Corporation","27.65","26429724817.3","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/csx",
"DAC","Danaos Corporation","4","439126976","n/a","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DAL","Delta Air Lines, Inc.","43.59","33633234969.6","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal",
"DHT","DHT Holdings, Inc.","5.91","553920021.72","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DCIX","Diana Containerships Inc.","0.88","65023711.28","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DSX","Diana Shipping inc.","2.95","243510750.15","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
