"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIR","AAR Corp.","23.57","819017690.27","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"ACW","Accuride Corporation New","1.6","77191478.4","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"WMS","Advanced Drainage Systems, Inc.","23.39","1268603406.61","n/a","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","17.4","1120560000","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/ajrd",
"AGCO","AGCO Corporation","50.83","4190926739.61","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco",
"A","Agilent Technologies, Inc.","40.96","13425462517.76","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/a",
"ARG","Airgas, Inc.","142.6","10328301675.8","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/arg",
"ALG","Alamo Group, Inc.","55.23","631270725.96","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/alg",
"AA","Alcoa Inc.","10.02","13174755797.76","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa",
"ALSN","Allison Transmission Holdings, Inc.","27.86","4728321637.76","n/a","2012","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alsn",
"AXL","American Axle & Manufacturing Holdings, Inc.","14.97","1139111895.63","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/axl",
"AP","Ampco-Pittsburgh Corporation","18.7","228450008.6","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","55.65","17142318985.05","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aph",
"ALV","Autoliv, Inc.","125.33","11053299752.11","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alv",
"AVX","AVX Corporation","12.82","2148235656.88","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/avx",
"BW","Babcock","22.47","1168275272.43","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/bw",
"BMI","Badger Meter, Inc.","74.18","1078458512","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bmi",
"B","Barnes Group, Inc.","33.02","1772782514.88","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/b",
"BZH","Beazer Homes USA, Inc.","7.16","236899948.6","n/a","1994","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/bzh",
"BIO","Bio-Rad Laboratories, Inc.","143.39","4210234673.58","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/bio",
"BXC","BlueLinx Holdings Inc.","0.69","62137265.52","n/a","2004","Capital Goods","Wholesale Distributors","http://www.nasdaq.com/symbol/bxc",
"BA","Boeing Company (The)","132.08","84136431767.44","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/ba",
"BWA","BorgWarner Inc.","33.85","7366410935.5","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/bwa",
"CAA","CalAtlantic Group, Inc.","31.16","3779483429.88","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/caa",
"CRR","Carbo Ceramics, Inc.","12.99","304789293.21","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/crr",
"CAT","Caterpillar, Inc.","72.79","42499806021.34","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/cat",
"CPAC","Cementos Pacasmayo S.A.A.","9.26","1008762213.04","n/a","2012","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cpac",
"CX","Cemex S.A.B. de C.V.","6.83","9566308821.61","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cx",
"CCS","Century Communities, Inc.","16.88","359292032.24","n/a","2014","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/ccs",
"ZX","China Zenix Auto International Limited","0.93","48011250","n/a","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/zx",
