"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ABB","ABB Ltd","20.54","44451128650.24","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ACCO","Acco Brands Corporation","9.73","1041077569.91","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"AYI","Acuity Brands Inc","243.95","10691259511.1","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"AME","AMTEK, Inc.","46.64","10985501974.48","n/a","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/ame",
"AIT","Applied Industrial Technologies, Inc.","44.62","1741404149.7","n/a","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/ait",
"ABG","Asbury Automotive Group Inc","56.29","1246925778.93","n/a","2002","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/abg",
"ASH","Ashland Inc.","111.08","6893704999.76","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/ash",
"AN","AutoNation, Inc.","48.2","4969593809.2","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/an",
"AVY","Avery Dennison Corporation","74.06","6604372041.96","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/avy",
"AZZ","AZZ Inc.","55.42","1436375892.52","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/azz",
"BLL","Ball Corporation","71.83","10180656177.67","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/bll",
"BMS","Bemis Company, Inc.","49.38","4675671860.94","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/bms",
"BRC","Brady Corporation","26.45","1328736222.3","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/brc",
"KMX","CarMax Inc","50.6","9807755900.8","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/kmx",
"CVO","Cenveo Inc","0.55","37330458","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cvo",
"CKP","Checkpoint Systms, Inc.","10.13","420334371.95","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/ckp",
"CLX","Clorox Company (The)","128.94","16677154399.5","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/clx",
"CODI","Compass Diversified Holdings","15.74","854682000","n/a","2006","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/codi",
"CTB","Cooper Tire & Rubber Company","33.01","1821141233.8","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/ctb",
"CCK","Crown Holdings, Inc.","53.58","7473193198.2","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cck",
"CST","CST Brands, Inc.","36.21","2738053151.19","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cst",
"DLX","Deluxe Corporation","62.89","3079326778.55","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/dlx",
"ESE","ESCO Technologies Inc.","38.06","982855731","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/ese",
"ETH","Ethan Allen Interiors Inc.","32.54","902772774.12","n/a","1993","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/eth",
"GNRC","Generac Holdlings Inc.","34.66","2300278452.34","n/a","2010","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/gnrc",
"GPK","Graphic Packaging Holding Company","12.74","4102442753.5","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/gpk",
"GPI","Group 1 Automotive, Inc.","61.94","1368584802.14","n/a","1997","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/gpi",
"HI","Hillenbrand Inc","29.88","1882513116.36","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/hi",
