"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"MMM","3M Company","167.77","101754942698.1","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"AAC","AAC Holdings, Inc.","21.5","494185326","n/a","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"ABT","Abbott Laboratories","38.5","56719811648.5","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","62.34","100444591008.84","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ADPT","Adeptus Health Inc.","59.28","1249234353.12","n/a","2014","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adpt",
"AET","Aetna Inc.","113.87","39922822000","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet",
"ALR","Alere Inc.","40.2","3467524164","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/alr",
"AGN","Allergan plc.","210.34","83018544350.56","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agn",
"ARA","American Renal Associates Holdings, Inc","27.53","818186176.59","n/a","2016","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ara",
"ABC","AmerisourceBergen Corporation (Holding Co)","78","16026072270","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/abc",
"ANTM","Anthem, Inc.","137.07","36042968121.21","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/antm",
"ANTX","Anthem, Inc.","45.91","12072172367.73","n/a","2015","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/antx",
"AZN","Astrazeneca PLC","28.1","71093000000","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/azn",
"BXLT","Baxalta Incorporated","41.34","28162511125.32","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bxlt",
"BAX","Baxter International Inc.","45.3","24818594759.7","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bax",
"BDX","Becton, Dickinson and Company","165.21","34994208260.46","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bdx",
"BSX","Boston Scientific Corporation","21.8","29393948315.4","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bsx",
