"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACN","Accenture plc","114.08","73765388355.84","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"BABA","Alibaba Group Holding Limited","78.83","196720189007.88","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/baba",
"ADS","Alliance Data Systems Corporation","200.24","11866504738.4","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ads",
"BFAM","Bright Horizons Family Solutions Inc.","64.79","3871825196.69","n/a","2013","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","59.12","7025458808.24","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"CAE","CAE Inc","11.57","3119674821.12","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"CAJ","Canon, Inc.","27.93","30501588388.32","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/caj",
"CBZ","CBIZ, Inc.","10.24","538122956.8","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cbz",
"DHX","DHI Group, Inc.","7.03","364520220.82","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dhx",
"DBD","Diebold, Incorporated","24.19","1575895286.4","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/dbd",
"DLB","Dolby Laboratories","45.06","4541870373.48","n/a","2005","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/dlb",
"KODK","Eastman Kodak Company","12.01","505351915.95","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kodk",
"ENR","Energizer Holdings, Inc.","43.51","2690215468.2","n/a","2015","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/enr",
"ENV","Envestnet, Inc","29.88","1255181201.64","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/env",
"FICO","Fair Isaac Corporation","106.13","3330114133.57","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fico",
"FIS","Fidelity National Information Services, Inc.","70.39","22863772969.99","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fis",
"FDC","First Data Corporation","11.06","9945189139.48","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fdc",
"FLT","FleetCor Technologies, Inc.","151.66","14046285120.4","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/flt",
"GPN","Global Payments Inc.","72.31","11135812310","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/gpn",
"GB","Greatbatch, Inc.","32.22","991694063.7","n/a","2000","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gb",
"GRUB","GrubHub Inc.","24.55","2076356806.6","n/a","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grub",
"ONE           ","Higher One Holdings, Inc.","3.91","188776059.02","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/one",
"HRG","HRG Group, Inc.","14.39","2886606140.96","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hrg",
"IMAX","Imax Corporation","32.8","2239457359.2","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/imax",
