"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"WBAI","500.com Limited","18.76","786107952.84","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"AHC","A.H. Belo Corporation","4.97","107240875.77","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"ANF","Abercrombie & Fitch Company","24.85","1679508372.5","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"AKR","Acadia Realty Trust","35.26","2524855909.04","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ATV","Acorn International, Inc.","5.15","3207795.95","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"AAP","Advance Auto Parts Inc","148.74","10905987906.3","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"ACM","AECOM","32.05","4891162550.8","n/a","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm",
"ADC","Agree Realty Corporation","42.88","890310707.84","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/adc",
"ALX","Alexander&#39;s, Inc.","390.22","1992539803.12","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","95.61","7015655569.23","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/are",
"ALLE","Allegion plc","65.37","6258114126.21","n/a","2013","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/alle",
"AOI","Alliance One International, Inc.","25.82","249641986.82","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/aoi",
"AMC","AMC Entertainment Holdings, Inc.","28.87","2812981852.59","n/a","2013","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/amc",
"AMFW","Amec Plc Ord","6.65","2614326556.45","n/a","2014","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/amfw",
"AAT","American Assets Trust, Inc.","41.62","1889793807.72","n/a","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aat",
"ACC","American Campus Communities Inc","46.55","6065513039.6","n/a","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/acc",
"AEO","American Eagle Outfitters, Inc.","14.35","2592467584.7","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/aeo",
"AMH","American Homes 4 Rent","16.23","3352317714.93","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amh",
"AMH^A","American Homes 4 Rent","26.5","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amh^a",
"AMT","American Tower Corporation (REIT)","106.31","45141862169.07","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amt",
"APU","AmeriGas Partners, L.P.","43.65","4055815701","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/apu",
"AXR","AMREP Corporation","4.4899","36186142.5146","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/axr",
"NLY","Annaly Capital Management Inc","10.62","9821692911.42","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nly",
"ANH","Anworth Mortgage Asset  Corporation","4.72","460366077.92","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/anh",
"AIV","Apartment Investment and Management Company","42.31","6625963981.12","n/a","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiv",
"ARI","Apollo Commercial Real Estate Finance","15.86","1069000652.46","n/a","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ari",
"AMTG","Apollo Residential Mortgage, Inc.","13.6","433768151.2","n/a","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amtg",
"APLE","Apple Hospitality REIT, Inc.","18.88","3291698056.32","n/a","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aple",
"ARMK","Aramark","33.63","8135363147.82","n/a","2013","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/armk",
"ABR","Arbor Realty Trust","6.75","343996983","n/a","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/abr",
"ABRN","Arbor Realty Trust","24.54","0","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/abrn",
"ARC","ARC Document Solutions, Inc.","4.08","191879017.68","n/a","2004","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/arc",
"ARCO","Arcos Dorados Holdings Inc.","4.67","983216644.32","n/a","2011","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arco",
"ACRE","Ares Commercial Real Estate Corporation","11.24","321572466","n/a","2012","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/acre",
"ARR","ARMOUR Residential REIT, Inc.","20.1","737523149.4","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/arr",
"AHP","Ashford Hospitality Prime, Inc.","11.93","339668275.75","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ahp",
"AHT","Ashford Hospitality Trust Inc","5.74","548002983.22","n/a","2003","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aht",
"ASPN","Aspen Aerogels, Inc.","4.55","105491076.6","n/a","2014","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/aspn",
"AZO","AutoZone, Inc.","774.04","23111976763.68","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/azo",
"AVB","AvalonBay Communities, Inc.","186.53","25584923736.42","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/avb",
"MPV","Babson Capital Participation Investors","14.0105","143739029.4795","n/a","1988","Consumer Services","Miscellaneous","http://www.nasdaq.com/symbol/mpv",
"BNED","Barnes & Noble Education, Inc","9.19","435621319.73","n/a","2015","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/bned",
"BKS","Barnes & Noble, Inc.","11.17","834327143.39","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/bks",
"BEL","Belmond Ltd.","8.97","1069849854.84","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/bel",
"BBY","Best Buy Co., Inc.","31.61","10221020196.41","n/a","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/bby",
"BIG","Big Lots, Inc.","45.22","2246683076.68","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/big",
"BH","Biglari Holdings Inc.","365.8","756058851.2","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bh",
"BCC","Boise Cascade, L.L.C.","21.81","845763948.63","n/a","2013","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/bcc",
"BOOT","Boot Barn Holdings, Inc.","7.72","203419977.36","n/a","2014","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/boot",
"BAH","Booz Allen Hamilton Holding Corporation","27.24","4052989750.8","n/a","2010","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/bah",
"BXP","Boston Properties, Inc.","130.86","20099112063.66","n/a","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxp",
"BYD","Boyd Gaming Corporation","18.77","2097557354.25","n/a","1993","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/byd",
"BDN","Brandywine Realty Trust","15.35","2686486328.6","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bdn",
"BPI","Bridgepoint Education, Inc.","8.56","393392442.16","n/a","2009","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/bpi",
"EAT","Brinker International, Inc.","46.25","2576671998.75","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/eat",
"BRX","Brixmor Property Group Inc.","26","7780701344","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brx",
"BAM","Brookfield Asset Management Inc","33.78","33340304352.78","n/a","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/bam",
"BOXC","Brookfield Canada Office Properties","21.49","564412543.38","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/boxc",
"BIP","Brookfield Infrastructure Partners LP","42.27","6857913628.14","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/bip",
"BRT","BRT Realty Trust","7.15","101831057.9","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brt",
"BKE","Buckle, Inc. (The)","27.23","1324295378.7","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/bke",
"BBW","Build-A-Bear Workshop, Inc.","13.57","214809368.25","n/a","2004","Consumer Services","Recreational Products/Toys","http://www.nasdaq.com/symbol/bbw",
"BURL","Burlington Stores, Inc.","55.62","4008691360.8","n/a","2013","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/burl",
"CAB","Cabela&#39;s Inc","51.35","3505421819.9","n/a","2004","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/cab",
"CABO","Cable One, Inc.","478.82","2766714372.26","n/a","2015","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cabo",
"CVC","Cablevision Systems Corporation","34.57","9552611426.25","n/a","1986","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cvc",
"CALX","Calix, Inc","7.11","344494836.27","n/a","2010","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/calx",
"CPT","Camden Property Trust","84.05","7312193667","n/a","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cpt",
"BXMT","Capital Trust, Inc.","27.95","2624859238.3","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxmt",
"CMO","Capstead Mortgage Corporation","9.64","924929947.6","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cmo",
"CCP","Care Capital Properties, Inc.","27.68","2323612796.32","n/a","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ccp",
"CRCM","Care.com, Inc.","7.32","238434403.92","n/a","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/crcm",
"CCL","Carnival Corporation","48.39","37676119092.81","n/a","1987","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/ccl",
"CUK","Carnival Corporation","49.78","38758363472.62","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/cuk",
"CSV","Carriage Services, Inc.","23.47","390319783.01","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/csv",
"CSH","Cash America International, Inc.","38.75","948255512.5","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/csh",
"CTT","CatchMark Timber Trust, Inc.","10.57","410125692.69","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ctt",
"CATO","Cato Corporation (The)","36.33","1012633973.61","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cato",
"CBL","CBL & Associates Properties, Inc.","11.91","2030859840.09","n/a","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cbl",
"CBS","CBS Corporation","57.47","26409816672.4","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cbs",
