"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ALK","Alaska Air Group, Inc.","69.14","8623766931.84","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"ASC","Ardmore Shipping Corporation","8.62","225932880.82","n/a","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/asc",
"AVH","Avianca Holdings S.A.","5.7","713431893","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/avh",
"BCO","Brink&#39;s Company (The)","29.6","1449492760","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","20.19","705675327.75","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"CNI","Canadian National Railway Company","59.07","46170578708.1","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","140","21430433360","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cp",
"CGI","Celadon Group, Inc.","9.75","271779251.25","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
"CEA","China Eastern Airlines Corporation Ltd.","28.43","7471505694.11","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"ZNH","China Southern Airlines Company Limited","31.99","6281279366.6","n/a","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","20.34","2058157146.78","n/a","2013","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/vlrs",
"CPA","Copa Holdings, S.A.","62.39","2617586612.53","n/a","2005","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cpa",
"CMRE","Costamare Inc.","8.89","670291776","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
"DAC","Danaos Corporation","3.63","398507730.72","n/a","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DAL","Delta Air Lines, Inc.","41.75","32213525120","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal",
"DHT","DHT Holdings, Inc.","5.66","530488548.72","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DSX","Diana Shipping inc.","2.96","244336210.32","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
"DSXN","Diana Shipping inc.","21.8","0","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsxn",
"LPG","Dorian LPG Ltd.","9.75","557945329.5","n/a","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/lpg",
"ERA","Era Group, Inc.","9.28","190200040.32","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/era",
"EURN","Euronav NV","10.83","1724232917.67","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/eurn",
"FDX","FedEx Corporation","160.37","43047118711.94","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/fdx",
"FRO","Frontline Ltd.","7.45","1165087098.5","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/fro",
"GNK","Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ","0.78","56863068.6","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gnk",
"GNRT","Gener8 Maritime, Inc.","7.09","586200646.98","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gnrt",
"GWR","Genesee & Wyoming, Inc.","60.66","3502656895.68","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gwr",
"GSL","Global Ship Lease, Inc.","1.9","104416341.1","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gsl",
"GOL","Gol Linhas Aereas Inteligentes S.A.","7.64","4002153728.04","n/a","2004","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/gol",
"PAC","Grupo Aeroportuario Del Pacifico, S.A. de C.V.","96.52","5414772000","n/a","2006","Transportation","Aerospace","http://www.nasdaq.com/symbol/pac",
"ASR","Grupo Aeroportuario del Sureste, S.A. de C.V.","152.25","4567500000","n/a","n/a","Transportation","Aerospace","http://www.nasdaq.com/symbol/asr",
"GSH","Guangshen Railway Company Limited","25.37","3594186673.8","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gsh",
"KSU","Kansas City Southern","92.37","9974819877.09","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu",
"KSU^","Kansas City Southern","25.923","0","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu^",
"KNX","Knight Transportation, Inc.","26.03","2099450561.05","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/knx",
"LFL","LATAM Airlines Group S.A.","6.88","3796712994.72","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/lfl",
"NVGS","Navigator Holdings Ltd.","14.91","825469292.97","n/a","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nvgs",
"NNA","Navios Maritime Acquisition Corporation","1.65","247141933.5","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nna",
"NM","Navios Maritime Holdings Inc.","0.87","96107815.11","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nm",
"NMM","Navios Maritime Partners LP","1.42","117973188.2","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nmm",
"NAO","Nordic American Offshore Ltd","5.25","118442787.75","n/a","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nao",
"NSC","Norfolk Souther Corporation","88.95","26305879177.95","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/nsc",
"RRTS","Roadrunner Transportation Systems, Inc","7.32","280106161.08","n/a","2010","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/rrts",
"SB","Safe Bulkers, Inc","0.95","79346221.1","n/a","2008","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/sb",
"SALT","Scorpio Bulkers Inc.","3.64","8694620.48","n/a","2013","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/salt",
"SLTB","Scorpio Bulkers Inc.","17.5","0","n/a","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/sltb",
"SBNA","Scorpio Tankers Inc.","22.7485","0","n/a","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/sbna",
"SBNB","Scorpio Tankers Inc.","24.9999","0","n/a","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/sbnb",
"STNG","Scorpio Tankers Inc.","5.79","1001877247.26","n/a","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/stng",
"CKH","SEACOR Holdings, Inc.","56.12","971242126.88","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/ckh",
"SSW","Seaspan Corporation","16.1","1582119742.7","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/ssw",
"SSWN","Seaspan Corporation","25.02","0","n/a","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/sswn",
"SFL","Ship Finance International Limited","14.62","1366502160","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/sfl",
"LUV","Southwest Airlines Company","41.53","26524662928.59","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/luv",
"SWFT","Swift Transportation Company","16.06","2169628735.34","n/a","2010","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/swft",
"TK","Teekay Corporation","9.9","719842572.9","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/tk",
"TNP","Tsakos Energy Navigation Ltd","5.91","516171433.32","n/a","2002","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/tnp",
"UNP","Union Pacific Corporation","85.19","71647712698.52","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/unp",
"UAL","United Continental Holdings, Inc.","44.99","15153677027.72","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ual",
"UPS","United Parcel Service, Inc.","102.14","90331759658.24","n/a","1999","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/ups",
"USDP","USD Partners LP","10.47","237580863.54","n/a","2014","Transportation","Railroads","http://www.nasdaq.com/symbol/usdp",
